x: -94, y: -221
x: -355.8686343305849, y: -179.59321528666632
x: -357.86288662489426, y: -179.4416970150225
x: -359.8571389192036, y: -179.2901787433787
x: -361.8513912135129, y: -179.1386604717349
x: -363.8456435078223, y: -178.9871422000911
x: -365.8398958021316, y: -178.83562392844732
x: -367.83414809644097, y: -178.6841056568035
x: -369.8284003907503, y: -178.5325873851597
x: -371.8226526850596, y: -178.3810691135159
x: -373.816904979369, y: -178.2295508418721
x: -375.8111572736783, y: -178.0780325702283
x: -377.8054095679877, y: -177.9265142985845
x: -379.799661862297, y: -177.7749960269407
x: -381.7939141566063, y: -177.6234777552969
x: -383.7881664509157, y: -177.4719594836531
x: -385.782418745225, y: -177.32044121200929
x: -387.77667103953434, y: -177.1689229403655
x: -389.7755706348607, y: -177.10258737068986
x: -391.77447023018703, y: -177.03625180101426
x: -393.7733698255134, y: -176.96991623133863
x: -395.7722694208397, y: -176.903580661663
x: -397.771169016166, y: -176.8372450919874
x: -399.7700686114924, y: -176.77090952231177
x: -401.7689682068187, y: -176.70457395263614
x: -403.7678678021451, y: -176.63823838296054
x: -405.7667673974714, y: -176.5719028132849
x: -407.7656669927977, y: -176.50556724360928
x: -409.76456658812407, y: -176.43923167393368
x: -411.7634661834504, y: -176.37289610425805
x: -413.76236577877677, y: -176.30656053458242
x: -415.7612653741031, y: -176.24022496490682
x: -417.76016496942947, y: -176.17388939523119
x: -419.7590645647558, y: -176.10755382555556
x: -421.7579641600821, y: -176.04121825587995
x: -423.7557947926649, y: -175.9480905826897
x: -425.7536254252477, y: -175.85496290949942
x: -427.75145605783047, y: -175.7618352363092
x: -429.74928669041327, y: -175.66870756311891
x: -431.7471173229961, y: -175.5755798899287
x: -433.7449479555789, y: -175.4824522167384
x: -435.7427785881617, y: -175.38932454354813
x: -437.7406092207445, y: -175.2961968703579
x: -439.73843985332724, y: -175.20306919716762
x: -441.73627048591004, y: -175.1099415239774
x: -443.73410111849284, y: -175.01681385078712
x: -445.73193175107565, y: -174.92368617759684
x: -447.72976238365845, y: -174.8305585044066
x: -449.72759301624126, y: -174.73743083121633
x: -451.725423648824, y: -174.6443031580261
x: -453.7232542814068, y: -174.55117548483582
x: -455.7210849139896, y: -174.45804781164554
x: -457.7189155465724, y: -174.36492013845532
x: -459.7167461791552, y: -174.27179246526504
x: -461.71457681173797, y: -174.1786647920748
x: -463.7124074443208, y: -174.08553711888453
x: -465.7102380769036, y: -173.99240944569425
x: -467.7080687094864, y: -173.89928177250403
x: -469.7058993420692, y: -173.80615409931374
x: -471.703729974652, y: -173.71302642612352
x: -473.70156060723474, y: -173.61989875293324
x: -475.69939123981754, y: -173.52677107974296
x: -477.69722187240035, y: -173.43364340655273
x: -479.69505250498315, y: -173.34051573336245
x: -481.69288313756596, y: -173.24738806017223
x: -483.6907137701487, y: -173.15426038698195
x: -485.6885444027315, y: -173.06113271379166
x: -487.68647843967085, y: -172.97025046008224
x: -489.6844124766102, y: -172.87936820637287
x: -491.68234651354953, y: -172.78848595266345
x: -493.6802805504888, y: -172.69760369895403
x: -495.67821458742816, y: -172.6067214452446
x: -497.6761486243675, y: -172.51583919153524
x: -499.67408266130684, y: -172.4249569378258
x: -501.6720166982462, y: -172.3340746841164
x: -503.6699507351855, y: -172.24319243040702
x: -505.6678847721248, y: -172.1523101766976
x: -507.66581880906415, y: -172.06142792298817
x: -509.6637528460035, y: -171.97054566927875
x: -511.66168688294283, y: -171.87966341556938
x: -513.6596209198822, y: -171.78878116185996
x: -515.6575549568215, y: -171.69789890815053
x: -517.6554889937609, y: -171.60701665444117
x: -519.6534230307002, y: -171.51613440073174
